trueC,trueW,estC,estW1,estW2,estW3,estW4,estW5
0.5,equal,4.40685,0.0118315,0.0995823,0.0884541,0.10067,0.699462
0.5,equal,4.34061,0.00441789,0.100367,0.304363,0.239503,0.351349
0.5,equal,4.15158,0.0217161,0.021978,0.079735,0.178829,0.697742
0.5,equal,1.008,0.136456,0.213294,0.36506,0.128732,0.156459
0.5,equal,2.06007,0.184785,0.0681218,0.0625122,0.144221,0.540359
0.5,equal,0.552887,0.0086007,0.145114,0.00700571,0.385556,0.453724
0.5,equal,2.64224,0.0479242,0.123123,0.547208,0.081362,0.200382
0.5,equal,1.16798,0.360051,0.15215,0.017406,0.181223,0.289171
0.5,equal,2.20783,0.048462,0.12901,0.644417,0.0747788,0.103333
0.5,equal,2.4333,0.0504391,0.112814,0.0761663,0.412325,0.348255
0.5,equal,2.14863,0.0554643,0.0564834,0.165938,0.211656,0.510458
0.5,equal,2.98375,0.0866024,0.0767534,0.25637,0.124341,0.455933
0.5,equal,3.5698,0.0299168,0.1039,0.225593,0.0821329,0.558457
0.5,equal,2.22377,0.0208677,0.0679379,0.241606,0.336478,0.33311
0.5,equal,0.52644,0.231339,0.070529,0.0877735,0.203478,0.40688
0.5,equal,1.30863,0.203049,0.474573,0.269981,0.0503126,0.00208467
0.5,equal,1.06559,0.0781677,0.00528042,0.0194128,0.0795957,0.817543
0.5,equal,1.10948,0.187557,0.304496,0.252911,0.0871397,0.167896
0.5,equal,0.754518,0.0367784,0.265428,0.209002,0.169414,0.319379
0.5,equal,1.3293,0.18851,0.244101,0.163601,0.195928,0.207859
0.5,equal,1.48624,0.0957274,0.0358794,0.409681,0.175898,0.282814
0.5,equal,4.15563,0.123772,0.148481,0.204195,0.0219373,0.501614
0.5,equal,3.29587,0.0318894,0.0773208,0.146751,0.0274874,0.716551
0.5,equal,0.912716,0.0488635,0.0874558,0.505761,0.337056,0.0208629
0.5,equal,2.4784,0.203107,0.196168,0.03711,0.010124,0.55349
0.5,equal,1.79195,0.14657800000000001,0.0492164,0.0182279,0.158665,0.627313
0.5,equal,3.3124,0.0802091,0.142486,0.0585169,0.20158,0.517208
0.5,equal,1.79616,0.0189061,0.0487856,0.0794081,0.252843,0.600057
0.5,equal,1.67635,0.0382699,0.0175411,0.366588,0.213408,0.364192
0.5,equal,1.3454,0.415159,0.116851,0.228698,0.0119809,0.22731
0.5,equal,0.809212,0.0484623,0.238527,0.175481,0.486178,0.051352
0.5,equal,1.01745,0.356473,0.211189,0.013834,0.113204,0.3053
0.5,equal,1.03635,0.399089,0.254882,0.0104258,0.0897478,0.245856
0.5,equal,1.1915,0.35809,0.279908,0.00425269,0.0586732,0.299076
0.5,equal,0.639151,0.193979,0.304731,0.0154976,0.207495,0.278298
0.5,equal,1.71614,0.257624,0.17396,0.39599,0.0759015,0.096524
0.5,equal,1.28639,0.385599,0.116647,0.17348,0.143671,0.180604
0.5,equal,1.4966,0.454872,0.101661,0.263431,0.0997503,0.0802853
0.5,equal,1.16975,0.0391422,0.250093,0.207396,0.0206277,0.48274
0.5,equal,1.35721,0.0490952,0.255214,0.202785,0.0176511,0.475255
0.5,equal,1.13586,0.0459797,0.0474993,0.561956,0.0244015,0.320163
0.5,equal,1.11955,0.318515,0.168269,0.176595,0.0802411,0.25638
0.5,equal,0.818297,0.157246,0.114864,0.185612,0.286078,0.2562
0.5,equal,4.47594,0.051466,0.0606608,0.75338,0.134415,7.77609e-5
0.5,equal,0.200902,0.278829,0.109755,0.0521737,0.554956,0.00428592
0.5,equal,1.05881,0.077055,0.318829,0.420846,0.0907064,0.0925646
0.5,equal,0.819723,0.15182,0.244129,0.108061,0.226163,0.269826
0.5,equal,1.75498,0.140165,0.123875,0.12097,0.103246,0.511744
0.5,equal,4.20531,0.00725949,0.0670134,0.0909716,0.00890754,0.825848
0.5,equal,0.788181,0.00248323,0.155075,0.265184,0.147123,0.430135
0.5,equal,2.41202,0.0291919,0.0590209,0.049154,0.199927,0.662706
0.5,equal,0.899069,0.338885,0.23806,0.0730241,0.128742,0.221289
0.5,equal,1.81851,0.0784355,0.106355,0.0247778,0.215686,0.574745
0.5,equal,2.28083,0.22011,0.06298,0.188362,0.142814,0.385734
0.5,equal,2.38745,0.0430459,0.141156,0.368214,0.155426,0.292158
0.5,equal,0.641673,0.44075,0.0327779,0.162905,0.0875123,0.276055
0.5,equal,3.22379,0.0284881,0.0568756,0.454814,0.362202,0.0976202
0.5,equal,3.3181,0.0913516,0.0185372,0.229352,0.0207389,0.64002
0.5,equal,1.83336,0.154415,0.166227,0.209054,0.334167,0.136137
0.5,equal,1.18022,0.099804,0.141973,0.106458,0.0770737,0.574691
0.5,equal,1.77588,0.16347,0.100931,0.373594,0.315276,0.0467294
0.5,equal,1.10787,0.127635,0.120987,0.473291,0.225416,0.0526722
0.5,equal,3.13859,0.095314,0.107566,0.0454787,0.207716,0.543925
0.5,equal,1.58889,0.237253,0.112368,0.220224,0.0889819,0.341173
0.5,equal,4.14473,0.0325705,0.0500632,0.0301819,0.334184,0.553
0.5,equal,2.36421,0.0496664,0.272789,0.0480159,0.394903,0.234626
0.5,equal,2.86587,0.126307,0.026559,0.0888125,0.154268,0.604053
0.5,equal,1.72543,0.177579,0.201261,0.278383,0.163156,0.179621
0.5,equal,4.23425,0.0434373,0.00981808,0.180438,0.119603,0.646703
0.5,equal,0.60768,0.254512,0.0566581,0.292067,0.181924,0.214839
0.5,equal,1.5911,0.268144,0.025875,0.222529,0.204533,0.278918
0.5,equal,1.43084,0.113707,0.0803028,0.122449,0.326652,0.356889
0.5,equal,3.45031,0.124738,0.0895021,0.123024,0.185032,0.477703
0.5,equal,0.779739,0.156978,0.067964,0.59279,0.062918,0.11935
0.5,equal,1.58919,0.146959,0.269922,0.0711934,0.198805,0.313121
0.5,equal,1.84574,0.0927346,0.12870500000000001,0.0570474,0.349188,0.372324
0.5,equal,1.6636,0.0815792,0.12251,0.687512,0.0571325,0.0512666
0.5,equal,1.52879,0.234995,0.136186,0.0255364,0.107612,0.49567
0.5,equal,1.21937,0.114764,0.230137,0.529778,0.0945572,0.0307642
0.5,equal,1.56416,0.0938304,0.141316,0.123289,0.246124,0.395441
0.5,equal,0.729764,0.316127,0.249959,0.176389,0.170866,0.0866598
0.5,equal,1.56568,0.128327,0.143954,0.304093,0.0802699,0.343355
0.5,equal,0.69454,0.321839,0.270864,0.148085,0.200843,0.0583691
0.5,equal,1.50567,0.356383,0.340144,0.0975372,0.162364,0.0435713
0.5,equal,1.28459,0.403997,0.302853,0.102276,0.13651,0.054364
0.5,equal,2.07458,0.0263314,0.0039416,0.598711,0.0884503,0.282566
0.5,equal,2.36138,0.0638375,0.00122356,0.345584,0.134675,0.45468
0.5,equal,1.77906,0.00666504,7.32851e-4,0.701719,0.0251091,0.265774
0.5,equal,2.56603,0.123438,0.033104,0.00668884,0.251895,0.584874
0.5,equal,2.73249,0.0104782,0.00546979,0.0520909,0.270902,0.661059
0.5,equal,1.86788,0.00671817,0.00504504,0.678263,0.0646521,0.245322
0.5,equal,2.20579,9.82431e-4,0.194746,0.177047,0.439732,0.187493
0.5,equal,0.991793,0.00550053,0.144811,0.36086,0.173479,0.31535
0.5,equal,1.83306,0.28991,0.131203,0.0814377,0.236005,0.261445
0.5,equal,0.2437,0.101912,0.188644,0.229335,0.460639,0.01947
0.5,equal,1.05316,0.0361003,0.0190646,0.301637,0.350617,0.292581
0.5,equal,1.69716,0.0193493,0.138682,0.252812,0.112788,0.476369
0.5,equal,1.81496,0.0255301,0.159816,0.0304658,0.102507,0.681681
0.5,equal,0.783607,0.499719,0.124825,0.0246071,0.190601,0.160248
0.5,equal,3.58237,0.00610113,0.040643,0.489942,0.0566031,0.40671
0.5,equal,1.35661,0.0390131,0.140966,0.104907,0.0485527,0.666561
0.5,equal,2.30699,0.152948,0.0662184,0.230825,0.151278,0.398731
0.5,equal,1.49225,0.113925,0.0549116,0.0263825,0.215408,0.589373
0.5,equal,1.7212,0.0224066,0.0304118,0.664898,0.121149,0.161135
0.5,equal,2.42576,0.0090575,0.0238159,0.383355,0.451384,0.132387
0.5,equal,0.916184,0.4568,0.284039,0.0495473,0.00414584,0.205468
0.5,equal,2.65414,0.0337917,0.00680279,0.169959,0.264819,0.524628
0.5,equal,3.72519,0.134746,0.0509804,0.60266,0.0396159,0.171998
0.5,equal,0.445882,0.134419,0.260629,0.35176,0.103543,0.149649
0.5,equal,0.335233,0.113045,0.213171,0.443732,0.0860298,0.144022
0.5,equal,1.17701,0.084428,0.0575467,0.27945,0.024483,0.554092
0.5,equal,3.51398,0.00403885,0.0643103,0.182317,0.508666,0.240668
0.5,equal,0.778009,0.289415,0.186421,0.0642727,0.0235293,0.43636200000000003
0.5,equal,0.882896,0.144004,0.175755,0.021513,0.296057,0.362671
0.5,equal,1.98335,0.058191,0.128048,0.538534,0.0318711,0.243356
0.5,equal,2.46978,0.203069,0.019947,0.187743,0.273885,0.315356
0.5,equal,1.18648,0.119553,0.0151787,0.233932,0.221227,0.410109
0.5,equal,1.42223,0.0653005,0.00377092,0.782983,0.00649099,0.141455
0.5,equal,2.32902,0.0404187,0.00455632,0.679801,0.0193034,0.25592
0.5,equal,3.64155,0.128797,0.0884083,0.242503,0.446912,0.0933799
0.5,equal,1.03233,0.143535,0.16576,0.555707,0.0471254,0.0878725
0.5,equal,2.95909,0.163662,0.09611,0.357275,0.254107,0.128846
0.5,equal,2.55021,0.0631497,0.106719,0.519098,0.179429,0.131605
0.5,equal,2.31431,0.15288,0.0824833,0.0482629,0.0292723,0.687101
0.5,equal,1.85393,0.05674,0.175353,0.183984,0.317825,0.266098
0.5,equal,0.654512,0.106849,0.16209,0.31028,0.0851249,0.335657
0.5,equal,4.25157,0.109608,0.0794884,0.129812,0.212801,0.46829
0.5,equal,3.80599,0.118317,0.0193352,0.0326474,0.170637,0.659063
0.5,equal,0.717598,0.127783,0.344913,0.324889,0.0101005,0.192315
0.5,equal,0.576973,0.182552,0.567444,0.0556178,0.0124098,0.181976
0.5,equal,2.16849,0.17956,0.0145651,0.319563,0.00935038,0.476962
0.5,equal,2.33702,0.0619423,0.103171,0.14891,0.0709422,0.615035
0.5,equal,1.49164,0.125339,0.210412,0.343183,0.174579,0.146487
0.5,equal,1.24848,0.306267,0.0605613,0.516322,0.0656547,0.051195
0.5,equal,1.50722,0.0548788,0.151577,0.0355464,0.133334,0.624664
0.5,equal,2.67851,0.0359891,0.103279,0.350296,0.191835,0.318601
0.5,equal,2.68019,0.0358192,0.1547,0.16738,0.282128,0.359973
0.5,equal,1.56265,0.0368843,0.0546186,0.277892,0.0411221,0.589483
0.5,equal,1.69559,0.0919196,0.0753079,0.293984,0.0114327,0.527355
0.5,equal,2.94094,0.0850885,0.12713,0.0864464,0.44662,0.254716
0.5,equal,2.38504,0.0296105,0.0268426,0.594391,0.125811,0.223345
0.5,equal,1.03688,0.296254,0.148653,0.0285123,0.120562,0.406019
0.5,equal,3.06514,0.03155,0.0739847,0.135597,0.26698,0.491888
0.5,equal,1.79122,0.263557,0.0977939,0.106678,0.103993,0.427978
0.5,equal,1.76483,0.07804,0.21927,0.259099,0.224037,0.219553
0.5,equal,2.6206,0.0852221,0.0296557,0.465,0.0672323,0.35289
0.5,equal,2.7101,0.0760117,0.00607886,0.128232,0.014278,0.7754
0.5,equal,2.57556,0.25981,0.152279,0.0652365,0.115438,0.407236
0.5,equal,2.00796,0.0133683,0.0483366,0.0374999,0.341619,0.559176
